Time,Country,Country Code,Time Code,"Core CPI,not seas.adj,,, [CORENS]","Core CPI,seas.adj,,, [CORESA]","CPI Price, % y-o-y, median weighted, seas. adj., [CPTOTSAXMZGY]","CPI Price, % y-o-y, not seas. adj.,, [CPTOTSAXNZGY]","CPI Price, seas. adj.,,, [CPTOTSAXN]","CPI Price,not seas.adj,,, [CPTOTNSXN]","Exchange rate, new LCU per USD extended backward, period average,, [DPANUSSPB]","Exchange rate, old LCU per USD extended forward, period average,, [DPANUSSPF]","Exports Merchandise, Customs, constant US$, millions, not seas. adj. [DXGSRMRCHNSKD]","Exports Merchandise, Customs, constant US$, millions, seas. adj. [DXGSRMRCHSAKD]","Exports Merchandise, Customs, current US$, millions, not seas. adj. [DXGSRMRCHNSCD]","Exports Merchandise, Customs, current US$, millions, seas. adj. [DXGSRMRCHSACD]","Exports Merchandise, Customs, Price, US$, not seas. adj. [DXGSRMRCHNSXD]","Exports Merchandise, Customs, Price, US$, seas. adj. [DXGSRMRCHSAXD]","GDP,constant 2010 LCU,millions,seas. adj., [NYGDPMKTPSAKN]","GDP,constant 2010 US$,millions,seas. adj., [NYGDPMKTPSAKD]","GDP,current LCU,millions,seas. adj., [NYGDPMKTPSACN]","GDP,current US$,millions,seas. adj., [NYGDPMKTPSACD]","Imports Merchandise, Customs, constant US$, millions, not seas. adj. [DMGSRMRCHNSKD]","Imports Merchandise, Customs, constant US$, millions, seas. adj. [DMGSRMRCHSAKD]","Imports Merchandise, Customs, current US$, millions, not seas. adj. [DMGSRMRCHNSCD]","Imports Merchandise, Customs, current US$, millions, seas. adj. [DMGSRMRCHSACD]","Imports Merchandise, Customs, Price, US$, not seas. adj. [DMGSRMRCHNSXD]","Imports Merchandise, Customs, Price, US$, seas. adj. [DMGSRMRCHSAXD]","Industrial Production, constant US$, seas. adj.,, [IPTOTSAKD]","Industrial Production, constant US$,,, [IPTOTNSKD]","Months Import Cover of Foreign Reserves,,,, [IMPCOV]","Nominal Effecive Exchange Rate,,,, [NEER]","Official exchange rate, LCU per USD, period average,, [DPANUSLCU]","Real Effective Exchange Rate,,,, [REER]","Retail Sales Volume,Index,,, [RETSALESSA]","Stock Markets, LCU,,, [DSTKMKTXN]","Stock Markets, US$,,, [DSTKMKTXD]","Terms of Trade,,,, [TOT]","Total Reserves,,,, [TOTRESV]","Unemployment rate,Percent,,, [UNEMPSA_]",Crypto_Trends,US_market,ACWI_market,crypto_market
2017-01-01,United States,USA,2017M01,113.6296720373,113.52200260161,..,2.51039334826,112.01445596999,112.06902121493,1.0,1.0,116658.138157895,126597.691465565,117528.0,127456.6,1.00745650373,1.00678455132,..,..,..,..,191118.567702371,198226.03957745,185653.7,190631.765973623,0.97140587768,0.96168881939,268252105416.469,268690409690.994,0.6325192558,124.39252885937,1.0,118.62903590909,130.38468840829,190.12229216208,190.12229216208,1.03711180556,120578.262745741,4.7,10.2783579,,,
2017-01-02,United States,USA,2017M01,113.6296720373,113.52200260161,..,2.51039334826,112.01445596999,112.06902121493,1.0,1.0,116658.138157895,126597.691465565,117528.0,127456.6,1.00745650373,1.00678455132,..,..,..,..,191118.567702371,198226.03957745,185653.7,190631.765973623,0.97140587768,0.96168881939,268252105416.469,268690409690.994,0.6325192558,124.39252885937,1.0,118.62903590909,130.38468840829,190.12229216208,190.12229216208,1.03711180556,120578.262745741,4.7,10.2783579,,,
2017-01-03,United States,USA,2017M01,113.6296720373,113.52200260161,..,2.51039334826,112.01445596999,112.06902121493,1.0,1.0,116658.138157895,126597.691465565,117528.0,127456.6,1.00745650373,1.00678455132,..,..,..,..,191118.567702371,198226.03957745,185653.7,190631.765973623,0.97140587768,0.96168881939,268252105416.469,268690409690.994,0.6325192558,124.39252885937,1.0,118.62903590909,130.38468840829,190.12229216208,190.12229216208,1.03711180556,120578.262745741,4.7,10.2783579,2257.830078125,52.54499435424805,
2017-01-04,United States,USA,2017M01,113.6296720373,113.52200260161,..,2.51039334826,112.01445596999,112.06902121493,1.0,1.0,116658.138157895,126597.691465565,117528.0,127456.6,1.00745650373,1.00678455132,..,..,..,..,191118.567702371,198226.03957745,185653.7,190631.765973623,0.97140587768,0.96168881939,268252105416.469,268690409690.994,0.6325192558,124.39252885937,1.0,118.62903590909,130.38468840829,190.12229216208,190.12229216208,1.03711180556,120578.262745741,4.7,10.2783579,2270.75,52.99439239501953,
2017-01-05,United States,USA,2017M01,113.6296720373,113.52200260161,..,2.51039334826,112.01445596999,112.06902121493,1.0,1.0,116658.138157895,126597.691465565,117528.0,127456.6,1.00745650373,1.00678455132,..,..,..,..,191118.567702371,198226.03957745,185653.7,190631.765973623,0.97140587768,0.96168881939,268252105416.469,268690409690.994,0.6325192558,124.39252885937,1.0,118.62903590909,130.38468840829,190.12229216208,190.12229216208,1.03711180556,120578.262745741,4.7,10.2783579,2269.0,53.19707107543945,
2017-01-06,United States,USA,2017M01,113.6296720373,113.52200260161,..,2.51039334826,112.01445596999,112.06902121493,1.0,1.0,116658.138157895,126597.691465565,117528.0,127456.6,1.00745650373,1.00678455132,..,..,..,..,191118.567702371,198226.03957745,185653.7,190631.765973623,0.97140587768,0.96168881939,268252105416.469,268690409690.994,0.6325192558,124.39252885937,1.0,118.62903590909,130.38468840829,190.12229216208,190.12229216208,1.03711180556,120578.262745741,4.7,10.2783579,2276.97998046875,53.20589065551758,
2017-01-07,United States,USA,2017M01,113.6296720373,113.52200260161,..,2.51039334826,112.01445596999,112.06902121493,1.0,1.0,116658.138157895,126597.691465565,117528.0,127456.6,1.00745650373,1.00678455132,..,..,..,..,191118.567702371,198226.03957745,185653.7,190631.765973623,0.97140587768,0.96168881939,268252105416.469,268690409690.994,0.6325192558,124.39252885937,1.0,118.62903590909,130.38468840829,190.12229216208,190.12229216208,1.03711180556,120578.262745741,4.7,10.2783579,2276.97998046875,53.20589065551758,
2017-01-08,United States,USA,2017M01,113.6296720373,113.52200260161,..,2.51039334826,112.01445596999,112.06902121493,1.0,1.0,116658.138157895,126597.691465565,117528.0,127456.6,1.00745650373,1.00678455132,..,..,..,..,191118.567702371,198226.03957745,185653.7,190631.765973623,0.97140587768,0.96168881939,268252105416.469,268690409690.994,0.6325192558,124.39252885937,1.0,118.62903590909,130.38468840829,190.12229216208,190.12229216208,1.03711180556,120578.262745741,4.7,8.99356316,2276.97998046875,53.20589065551758,
2017-01-09,United States,USA,2017M01,113.6296720373,113.52200260161,..,2.51039334826,112.01445596999,112.06902121493,1.0,1.0,116658.138157895,126597.691465565,117528.0,127456.6,1.00745650373,1.00678455132,..,..,..,..,191118.567702371,198226.03957745,185653.7,190631.765973623,0.97140587768,0.96168881939,268252105416.469,268690409690.994,0.6325192558,124.39252885937,1.0,118.62903590909,130.38468840829,190.12229216208,190.12229216208,1.03711180556,120578.262745741,4.7,8.99356316,2268.89990234375,53.08251953125,
2017-01-10,United States,USA,2017M01,113.6296720373,113.52200260161,..,2.51039334826,112.01445596999,112.06902121493,1.0,1.0,116658.138157895,126597.691465565,117528.0,127456.6,1.00745650373,1.00678455132,..,..,..,..,191118.567702371,198226.03957745,185653.7,190631.765973623,0.97140587768,0.96168881939,268252105416.469,268690409690.994,0.6325192558,124.39252885937,1.0,118.62903590909,130.38468840829,190.12229216208,190.12229216208,1.03711180556,120578.262745741,4.7,8.99356316,2268.89990234375,53.08251953125,
2017-01-11,United States,USA,2017M01,113.6296720373,113.52200260161,..,2.51039334826,112.01445596999,112.06902121493,1.0,1.0,116658.138157895,126597.691465565,117528.0,127456.6,1.00745650373,1.00678455132,..,..,..,..,191118.567702371,198226.03957745,185653.7,190631.765973623,0.97140587768,0.96168881939,268252105416.469,268690409690.994,0.6325192558,124.39252885937,1.0,118.62903590909,130.38468840829,190.12229216208,190.12229216208,1.03711180556,120578.262745741,4.7,8.99356316,2275.320068359375,53.37330627441406,
2017-01-12,United States,USA,2017M01,113.6296720373,113.52200260161,..,2.51039334826,112.01445596999,112.06902121493,1.0,1.0,116658.138157895,126597.691465565,117528.0,127456.6,1.00745650373,1.00678455132,..,..,..,..,191118.567702371,198226.03957745,185653.7,190631.765973623,0.97140587768,0.96168881939,268252105416.469,268690409690.994,0.6325192558,124.39252885937,1.0,118.62903590909,130.38468840829,190.12229216208,190.12229216208,1.03711180556,120578.262745741,4.7,8.99356316,2270.43994140625,53.34687042236328,
