VAR_ID,Description,,VAR_FRED_ID
D_AB1020AAAMT,"Total Value of Issues, with a Maturity Between 10 and 20 Days, Used inCalculating the AA Asset-Backed Commercial Paper Rates",,D_FRED_AB1020AAAMT
D_AB1020AAVOL,"Number of Issues, with a Maturity Between 10 and 20 Days, Used inCalculating the AA Asset-Backed Commercial Paper Rates",,D_FRED_AB1020AAVOL
D_AB14AAAMT,"Total Value of Issues, with a Maturity Between 1 and 4 Days, Used inCalculating the AA Asset-Backed Commercial Paper Rates",,D_FRED_AB14AAAMT
D_AB14AAVOL,"Number of Issues, with a Maturity Between 1 and 4 Days, Used inCalculating the AA Asset-Backed Commercial Paper Rates",,D_FRED_AB14AAVOL
D_AB2140AAAMT,"Total Value of Issues, with a Maturity Between 21 and 40 Days, Used inCalculating the AA Asset-Backed Commercial Paper Rates",,D_FRED_AB2140AAAMT
D_AB2140AAVOL,"Number of Issues, with a Maturity Between 21 and 40 Days, Used inCalculating the AA Asset-Backed Commercial Paper Rates",,D_FRED_AB2140AAVOL
D_AB4180AAAMT,"Total Value of Issues, with a Maturity Between 41 and 80 Days, Used inCalculating the AA Asset-Backed Commercial Paper Rates",,D_FRED_AB4180AAAMT
D_AB4180AAVOL,"Number of Issues, with a Maturity Between 41 and 80 Days, Used inCalculating the AA Asset-Backed Commercial Paper Rates",,D_FRED_AB4180AAVOL
D_AB59AAAMT,"Total Value of Issues, with a Maturity Between 5 and 9 Days, Used inCalculating the AA Asset-Backed Commercial Paper Rates",,D_FRED_AB59AAAMT
D_AB59AAVOL,"Number of Issues, with a Maturity Between 5 and 9 Days, Used inCalculating the AA Asset-Backed Commercial Paper Rates",,D_FRED_AB59AAVOL
D_ABGT80AAAMT,"Total Value of Issues, with a Maturity Greater Than 80 Days, Used inCalculating the AA Asset-Backed Commercial Paper Rates",,D_FRED_ABGT80AAAMT
D_ABGT80AAVOL,"Number of Issues, with a Maturity Greater Than 80 Days, Used inCalculating the AA Asset-Backed Commercial Paper Rates",,D_FRED_ABGT80AAVOL
D_DEXBZUS,Brazilian Reals to U.S. Dollar Spot Exchange Rate,,D_FRED_DEXBZUS
D_DEXCAUS,Canadian Dollars to U.S. Dollar Spot Exchange Rate,,D_FRED_DEXCAUS
D_DEXCHUS,Chinese Yuan Renminbi to U.S. Dollar Spot Exchange Rate,,D_FRED_DEXCHUS
